"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CBS",-1.14740119618565,5.6334212669923,-24.486821592226,5.75029728612505e-63,5.19884377638566e-59,132.770720923361
"PSD3",1.25217157966467,6.85082594385654,23.8466285327841,3.28699436465054e-61,1.48588580254028e-57,128.766634790221
"HMCN1",1.54642442588017,8.20697238542966,21.8517783870819,1.36303891362999e-55,4.10774493937626e-52,115.954157575914
"COL14A1",2.11344719180394,7.97739722093182,21.6365070375144,8.85287971635884e-55,2.00097213789001e-51,114.101810703009
"SYTL2",1.15441431717861,6.4142872908409,20.9326133019215,6.22269599841286e-53,1.12518789043301e-49,109.883544769819
"GPX3",-1.44946771214144,8.64770104520207,-20.6783299728852,3.4463107189135e-52,5.19301586828283e-49,108.186174728157
"PTGFRN",1.18035332065914,7.53394320907801,20.3386872474077,3.43017198943562e-51,4.43031213664107e-48,105.907176398224
"ASPN",2.63241413659218,7.66120411100644,20.4281353862227,3.94201386102457e-51,4.45496841469039e-48,105.774122368202
"NECAB1",-1.88578376867892,5.55079744985718,-20.0012204165119,4.67772221888843e-50,4.69903184233003e-47,103.317707240993
"ROBO1",0.85590630860464,7.51166007393842,19.4027048516742,2.06261488750924e-48,1.86481011979711e-45,99.5588561198972
"ECHDC3",-0.911402211497638,5.92324662827467,-19.1569434305136,1.12436375319921e-47,9.24124790243093e-45,97.8760824312762
"TNFRSF19",1.10690213622778,7.21474923159006,19.1368748530722,1.29171839041221e-47,9.732021639764e-45,97.7383874760331
"BTNL8",-0.826464893395988,4.37649472482333,-18.9425579309428,4.96110626296619e-47,3.45025859411364e-44,96.4029700922694
"SSPN",0.969086471619338,7.72917427976938,18.9198357556826,5.80796966973979e-47,3.75070384172268e-44,96.2465606813843
"ADRA1A",-1.12738411362523,4.81376570471218,-18.8992771896802,6.69841656453672e-47,4.03735894399843e-44,96.1049991196695
"CORO6",-0.825564497373715,5.24834949123513,-18.8134898467879,1.21525627635969e-46,6.86695749660499e-44,95.5138231221583
"S100A12",-2.1711017012903,5.0468676669361,-18.8388773423995,1.70543590224042e-46,9.06990940715038e-44,95.1821180799387
"CFH",1.42858070282349,9.71104399513095,18.6238201313597,4.58125074035025e-46,2.19457559951573e-43,94.1968211621144
"GALNT18",-1.06993483740485,6.30865865181832,-18.6155084864395,4.81832814963002e-46,2.19457559951573e-43,94.1466737371717
"SFRP2",2.36850791182716,7.85415411981,18.7007464975909,4.85471872473338e-46,2.19457559951573e-43,94.1447236670388
"KLHL13",1.28037672773995,5.27554281642858,18.4505019053913,1.52317691273897e-45,6.55763927051098e-43,93.0042733854432
"NLRP12",-0.911880650867729,4.6080684823415,-18.3382160831435,3.33842120262061e-45,1.37193936785877e-42,92.2253722732714
"CDH3",1.5500248967711,6.69833289569434,18.3078254671358,4.62049295843238e-45,1.81625551466031e-42,91.9038617542448
"SLCO4A1",-1.93671916371772,6.04765337566351,-18.1606662328517,1.72802936364733e-44,6.50963061530648e-42,90.5973933725653
"LSS",-0.886018130739423,7.02653575571977,-17.8947271608072,7.48980248268284e-44,2.70861216983742e-41,89.1374714714055
"DCXR",-0.769713534657727,8.22381590697983,-17.8274356468203,1.20258400659535e-43,4.18175461678023e-41,88.6673822714273
"SESN3",1.17992188400527,7.99842679189182,17.7000615962574,2.95011040652494e-43,9.87849932792294e-41,87.7764822375684
"MPP3",-1.01752985718891,5.66153543246026,-17.6435953504372,4.39336909777004e-43,1.4185875004621e-40,87.3810905619551
"SUN2",-0.757685663045713,7.85068461506689,-17.6360256426431,4.63439422866917e-43,1.444812352462e-40,87.3280648567394
"COL1A1",1.97269116758054,10.0007342872771,17.5955020353778,9.33988509907067e-43,2.8147300393566e-40,86.636865978561
"IRS2",-0.916504506752725,6.63535450017567,-17.5090452125143,1.13604838137201e-42,3.31323013418851e-40,86.4378514724905
"LTBP1",1.2909682606186,9.0578675520895,17.4710346253117,1.48618658439217e-42,4.19894153421551e-40,86.1711128984251
"ADIPOR2",-0.853770897893624,7.42710182977906,-17.4606645472109,1.5992410664489e-42,4.38143590356501e-40,86.0983204988719
"VSIG10",-0.778249020394835,5.39475009571995,-17.2451514694225,7.35312637303209e-42,1.95528280995833e-39,84.583574597792
"MAP3K6",-0.85456123116296,7.19340901178875,-17.2090498536243,9.49760595002136e-42,2.45336729697552e-39,84.3294736738615
"CSF3R",-1.38602881600722,6.61635995975797,-17.0982453032279,2.196111622915e-41,5.51529032854848e-39,83.4977851675809
"FAT1",1.04603495154284,7.94278289880946,16.9920699002956,4.43102588745847e-41,1.0827271634733e-38,82.800171330917
"COL3A1",1.90048776297729,10.0377096606364,17.0329003232994,4.85225388667859e-41,1.15445335235424e-38,82.7145759522186
"DCLK1",1.4667994193555,6.22882913992516,16.9844960465261,5.28091263246804e-41,1.22422387461906e-38,82.6274082800759
"NPR1",-1.26818279335685,6.04955866625781,-16.9467263157803,6.11611977897543e-41,1.38239597304292e-38,82.4801421500181
"GALNT13",-1.1220968880908,3.95700084702179,-16.9206849016222,7.36024886341525e-41,1.62302463351554e-38,82.2962778540847
"CACNA2D3",-0.759206000233581,4.74961461216518,-16.7997917075551,1.7397444308882e-40,3.7450069999191e-38,81.4420841866597
"RPS6KA2",-0.769948462549722,7.72313781727242,-16.7504872824393,2.47158589859301e-40,5.19665304864637e-38,81.093421159807
"IP6K3",-0.687094581404169,5.02968466816196,-16.6663687191901,4.50095685955851e-40,9.24844340165192e-38,80.4981824755051
"TAMALIN",-1.26616512464008,6.03384726347271,-16.651112816663,5.03866507537921e-40,1.00935417798541e-37,80.3861714266615
"FANCE",-0.642365138880383,5.24539985369153,-16.6478690160165,5.13552617933068e-40,1.00935417798541e-37,80.3672113720572
